title,video_link,img_link,hits,play_time,updated_time
LeBron James ULTIMATE Mixtape | 2016-2017,https://www.youtube.com/watch?v=yZUUItxjpz4,https://i.ytimg.com/vi/yZUUItxjpz4/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDsQ2ryZQw0iNnfRQojvXZuik2dgQ,15015,7:13,2 hours ago
The Best Plays from Point Guards: 2017 NBA Season,https://www.youtube.com/watch?v=GthyaTrUrSw,https://i.ytimg.com/vi/GthyaTrUrSw/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLA8iGqz0enijOBH_H-1UgnmTWhjkg,27064,6:38,7 hours ago
Kevin Durant BEST PLAY from EVERY GAME | 2017 Finals MVP | 2016-2017 Season,https://www.youtube.com/watch?v=cnHYC1YN1aU,https://i.ytimg.com/vi/cnHYC1YN1aU/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLD_F5g9KCrF78Mm3AjwwhgMRqvO8Q,82955,16:55,1 day ago
James Harden's Top 28 Plays of his CAREER,https://www.youtube.com/watch?v=XXKfT2TMwQE,https://i.ytimg.com/vi/XXKfT2TMwQE/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDU3eOcYkxY8HiRSsD44bgbrEBCsw,164236,6:59,2 days ago
The BEST Bench Reactions of the 2017 NBA Season,https://www.youtube.com/watch?v=FWJ0qfk-H_s,https://i.ytimg.com/vi/FWJ0qfk-H_s/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAXMLF_tNne4yRrSag7g_vtVJgzfg,180157,4:34,3 days ago
Top 10 Spin Moves: 2017 NBA Season,https://www.youtube.com/watch?v=zmmTXKXhtEw,https://i.ytimg.com/vi/zmmTXKXhtEw/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBjRJPrzPaF9X3GB-nT1E4Da9keiw,172269,2:40,4 days ago
Reggie Miller 90's Throw Back | Talks With Ahmad Rashad About The Game of Basketball,https://www.youtube.com/watch?v=feAcD3DnQO4,https://i.ytimg.com/vi/feAcD3DnQO4/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAwvQU54Fr2Q8L5wvuEudNa-azy9w,19052,2:53,4 days ago
INCREDIBLE Fan Half Court Shots From The 2016-2017 NBA Season,https://www.youtube.com/watch?v=7bc6OwR_n2s,https://i.ytimg.com/vi/7bc6OwR_n2s/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCsF9UUVN1pfeMSY_FRxi2cG2k7Ow,60991,2:11,4 days ago
All-Access: USA Basketball AmeriCup Team Training Camp,https://www.youtube.com/watch?v=_n4fSf1Dyi4,https://i.ytimg.com/vi/_n4fSf1Dyi4/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDVOrWbS5_ftThbx081sU8uKxl_4A,18636,1:03,5 days ago
Hassan Whiteside Top 10 Blocks of 2016-2017 NBA Season,https://www.youtube.com/watch?v=YnIiSdpc7PQ,https://i.ytimg.com/vi/YnIiSdpc7PQ/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLB86LNI4NRAEZOztvoKEgfOc2eGbw,51370,2:06,5 days ago
Kobe Bryant's BEST PLAY vs EVERY NBA TEAM In His Career!,https://www.youtube.com/watch?v=tjRCk0JVzfc,https://i.ytimg.com/vi/tjRCk0JVzfc/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAYrvj4e-TsjiftG4w87ShiHiH-RQ,340804,11:56,5 days ago
Kawhi Leonard Takes over the NBA's 5v5 Event In Beijing,https://www.youtube.com/watch?v=o7R3i23fe80,https://i.ytimg.com/vi/o7R3i23fe80/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAMsZj4Qqc6OvgjAEOetW-Lamw29A,61339,0:38,6 days ago
Kawhi Leonard's NBA Cares Guest Appearance In China!,https://www.youtube.com/watch?v=dH88AXAlzmg,https://i.ytimg.com/vi/dH88AXAlzmg/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDcCx3YDymnAUwvqA0WetjmnW3JpA,27731,0:31,6 days ago
Top 50 Impossible Shots of the 2017 NBA Season,https://www.youtube.com/watch?v=M_K4IU7t5ok,https://i.ytimg.com/vi/M_K4IU7t5ok/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAUZ8NxpjCRRdCjVrUgIVmVI6ewKg,678967,11:13,6 days ago
Giannis Antetokounmpo BEST PLAY from EVERY GAME | 2016-2017 Season,https://www.youtube.com/watch?v=FkIu5LQOsB8,https://i.ytimg.com/vi/FkIu5LQOsB8/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLB8q0tri4sg6ODPW4RYL0HB8T_Zlg,141529,24:52,6 days ago
Kevin Durant's Top 10 Plays of the 2016-2017 NBA Season,https://www.youtube.com/watch?v=SQydYJkBGt8,https://i.ytimg.com/vi/SQydYJkBGt8/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAKaMnl-M6ypMdm18LJJfOCn3L7Nw,72455,2:37,6 days ago
Devin Booker's Top 10 Plays of the 2016-2017 NBA Season,https://www.youtube.com/watch?v=brlyHDHnzaM,https://i.ytimg.com/vi/brlyHDHnzaM/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLD8CzZhsQ24NOnF73KD3ubbl4TImw,84469,2:58,1 week ago
BWB Europe All Access: Israel,https://www.youtube.com/watch?v=6THDdQcNerM,https://i.ytimg.com/vi/6THDdQcNerM/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBMAQ2K4bz1QZM92EQ7ouKxsiB5yw,21431,1:43,1 week ago
Remembering Tommy Hawkins,https://www.youtube.com/watch?v=XZNHcHfPrGQ,https://i.ytimg.com/vi/XZNHcHfPrGQ/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLA_ZkYdmecYqcZdGf3c8Pc6q8VxIw,11240,0:58,1 week ago
LeBron James BEST PLAY EVERY GAME | 2016-2017 Season,https://www.youtube.com/watch?v=sO56CyHI5ek,https://i.ytimg.com/vi/sO56CyHI5ek/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLC4I95EedHP-MRkoXR76_H8ljH-eQ,260932,23:11,1 week ago
Andrew Wiggins' Top 10 Plays of the 2016-2017 NBA Season,https://www.youtube.com/watch?v=M5lGZdBO2tU,https://i.ytimg.com/vi/M5lGZdBO2tU/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDoP915I5wYidi5STUA65f2oPSq1Q,86024,2:28,1 week ago
John Wall's Top 10 Plays of the 2016-2017 NBA Season,https://www.youtube.com/watch?v=E4aCgUxBreA,https://i.ytimg.com/vi/E4aCgUxBreA/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLD6Kkzop1yi7Jj001mQglvLkm2vjg,124670,2:26,1 week ago
Stephen Curry BEST PLAY EVERY GAME | 2016-2017 Season,https://www.youtube.com/watch?v=xTJcASRxbfI,https://i.ytimg.com/vi/xTJcASRxbfI/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLA2-AkQW85xMHkj4jL6YYMMhOzOAA,410590,22:23,1 week ago
James Harden's Top 10 Plays of the 2016-2017 NBA Season,https://www.youtube.com/watch?v=LcGlkBO7wWY,https://i.ytimg.com/vi/LcGlkBO7wWY/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAZM8FrqLjpobKRe7cNOBTjZLsXsQ,122497,2:35,1 week ago
Anthony Davis' Top 10 Plays of the 2016-2017 NBA Season,https://www.youtube.com/watch?v=2jnAMkqtTF0,https://i.ytimg.com/vi/2jnAMkqtTF0/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAtRUjB3JnBfQZ_JkDy1TysjRfL8g,85761,2:08,1 week ago
Top 10 Ball Fakes: 2017 NBA Season,https://www.youtube.com/watch?v=BgPinqi2jwU,https://i.ytimg.com/vi/BgPinqi2jwU/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLD77LpN7diO49miiv-cMIlAG_DkkA,215124,2:30,1 week ago
Top 10 360 Plays: 2017 NBA Season,https://www.youtube.com/watch?v=Fd8rWIFlQ1o,https://i.ytimg.com/vi/Fd8rWIFlQ1o/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDWHEJ-BHX-Yfi9vTY58m7SZtBMuA,117253,2:28,1 week ago
Russell Westbrook BEST PLAY EVERY GAME | MVP Season 2016-2017,https://www.youtube.com/watch?v=eaGNarhkRsQ,https://i.ytimg.com/vi/eaGNarhkRsQ/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDv4QLg8N9bs6mlYs2NpndZKwZ46Q,200933,21:21,1 week ago
All-Access: 2017 NBA Rookie Photo Shoot,https://www.youtube.com/watch?v=1QxI6IeGrzQ,https://i.ytimg.com/vi/1QxI6IeGrzQ/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLABdpzDnj_XSD0CBhFqJvWBqdGLlw,65953,1:35,1 week ago
"Lonzo Ball, Markelle Fultz and the 2017 Rookie Class Show Off Nike's New Uniforms",https://www.youtube.com/watch?v=Pd7AsnmDk0w,https://i.ytimg.com/vi/Pd7AsnmDk0w/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAaia9v3XhuA0tYdH8Q2rantldiKw,124115,3:51,2 weeks ago
